time, sensor_id, sensor_x, sensor_y, temp_in, temp_out,
100.384, 0, 1.79621, -0.115357, 16.6264, 9.06598, 
100.512, 0, 1.79621, -0.115357, 16.6422, 8.387, 
100.64, 0, 1.79621, -0.115357, 16.4653, 8.23102, 
100.768, 0, 1.79621, -0.115357, 16.4959, 8.46018, 
100.896, 0, 1.79621, -0.115357, 16.4924, 9.05992, 
101.024, 0, 1.79621, -0.115357, 16.8384, 8.49625, 
101.152, 0, 1.79621, -0.115357, 16.6808, 8.20623, 
101.28, 0, 1.79621, -0.115357, 16.6192, 8.76887, 
101.408, 0, 1.79621, -0.115357, 16.7095, 9.11971, 
101.536, 0, 1.79621, -0.115357, 16.179, 8.65808, 
101.664, 0, 1.79621, -0.115357, 16.5356, 8.47148, 
101.792, 0, 1.79621, -0.115357, 16.6078, 8.1984, 
101.92, 0, 1.79621, -0.115357, 16.5821, 9.19621, 
102.048, 0, 1.79621, -0.115357, 16.4236, 8.41861, 
102.176, 0, 1.79621, -0.115357, 16.544, 8.66653, 
102.304, 0, 1.79621, -0.115357, 16.6251, 8.03315, 
102.432, 0, 1.79621, -0.115357, 16.6013, 8.59804, 
102.56, 0, 1.79621, -0.115357, 16.5289, 8.85794, 
102.688, 0, 1.79621, -0.115357, 16.4591, 9.18007, 
102.816, 0, 1.79621, -0.115357, 16.6463, 8.64519, 
102.944, 0, 1.79621, -0.115357, 16.4958, 8.43073, 
103.072, 0, 1.79621, -0.115357, 16.6396, 8.63783, 
103.2, 0, 1.79621, -0.115357, 16.7635, 8.635, 
103.328, 0, 1.79621, -0.115357, 16.592, 8.72355, 
103.456, 0, 1.79621, -0.115357, 16.6211, 8.78105, 
103.584, 0, 1.79621, -0.115357, 16.6923, 8.76418, 
103.712, 0, 1.79621, -0.115357, 16.5574, 9.02184, 
134.304, 1, 4.62, 1.21, 16.5426, 8.35301, 
134.432, 1, 4.62, 1.21, 16.1141, 9.0317, 
134.56, 1, 4.62, 1.21, 16.4582, 8.10532, 
134.688, 1, 4.62, 1.21, 16.6689, 8.72729, 
134.816, 1, 4.62, 1.21, 17.074, 8.58007, 
134.944, 1, 4.62, 1.21, 16.0644, 8.96301, 
135.072, 1, 4.62, 1.21, 16.3703, 8.57058, 
135.2, 1, 4.62, 1.21, 16.3792, 8.95885, 
135.328, 1, 4.62, 1.21, 16.3404, 8.83538, 
135.456, 1, 4.62, 1.21, 16.904, 8.68347, 
135.584, 1, 4.62, 1.21, 16.307, 8.6549, 
135.712, 1, 4.62, 1.21, 16.52, 8.56145, 
135.84, 1, 4.62, 1.21, 16.3613, 8.89844, 
135.968, 1, 4.62, 1.21, 15.9331, 8.02069, 
136.096, 1, 4.62, 1.21, 16.4937, 8.57322, 
136.224, 1, 4.62, 1.21, 16.7478, 8.27016, 
136.352, 1, 4.62, 1.21, 16.4722, 8.81313, 
136.48, 1, 4.62, 1.21, 16.5805, 8.88405, 
136.608, 1, 4.62, 1.21, 16.5785, 8.61483, 
136.736, 1, 4.62, 1.21, 16.5501, 8.398, 
136.864, 1, 4.62, 1.21, 16.7958, 8.85525, 
136.992, 1, 4.62, 1.21, 16.6312, 8.11096, 
137.12, 1, 4.62, 1.21, 16.5862, 9.38984, 
137.248, 1, 4.62, 1.21, 16.7447, 8.67051, 
137.376, 1, 4.62, 1.21, 16.1665, 7.96103, 
137.504, 1, 4.62, 1.21, 16.6374, 9.01318, 
137.632, 1, 4.62, 1.21, 16.623, 8.15742, 
173.344, 2, 1.30989, 2.56938, 16.2362, 8.35785, 
173.472, 2, 1.30989, 2.56938, 16.3379, 8.33322, 
173.6, 2, 1.30989, 2.56938, 16.6049, 8.782, 
173.728, 2, 1.30989, 2.56938, 16.5491, 8.99076, 
173.856, 2, 1.30989, 2.56938, 16.8043, 8.35382, 
173.984, 2, 1.30989, 2.56938, 16.9894, 8.39576, 
174.112, 2, 1.30989, 2.56938, 16.3784, 8.68722, 
174.24, 2, 1.30989, 2.56938, 16.637, 8.25845, 
174.368, 2, 1.30989, 2.56938, 16.6668, 8.33977, 
174.496, 2, 1.30989, 2.56938, 16.9568, 8.79268, 
174.624, 2, 1.30989, 2.56938, 16.1914, 8.89024, 
174.752, 2, 1.30989, 2.56938, 16.2311, 8.65787, 
174.88, 2, 1.30989, 2.56938, 16.4292, 8.35477, 
175.008, 2, 1.30989, 2.56938, 16.6729, 7.69864, 
175.136, 2, 1.30989, 2.56938, 16.2963, 8.35833, 
175.264, 2, 1.30989, 2.56938, 16.839, 8.57833, 
175.392, 2, 1.30989, 2.56938, 16.8937, 8.44383, 
175.52, 2, 1.30989, 2.56938, 16.4736, 8.99374, 
175.648, 2, 1.30989, 2.56938, 16.6742, 8.64566, 
175.776, 2, 1.30989, 2.56938, 16.4599, 8.57045, 
175.904, 2, 1.30989, 2.56938, 16.5634, 8.28797, 
