time, light, accx, accy, accz,
3.232, 1.37871, -0.0839371, -0.00301411, 9.86794, 
3.264, 1.3786, 0.00799107, 0.0688003, 9.77498, 
3.296, 1.38027, -0.00917324, 0.0186786, 9.80535, 
3.328, 1.37128, -0.0175655, 0.0746385, 9.82333, 
3.36, 1.37756, -0.000124703, 0.0103561, 9.7831, 
3.392, 1.37842, -0.0408428, 0.00545926, 9.85547, 
3.424, 1.38032, -0.0286577, -0.0995753, 9.89213, 
3.456, 1.38273, 0.0138178, 0.0505897, 9.8735, 
3.488, 1.38334, -0.00361899, 0.0184241, 9.73702, 
3.52, 1.37994, -0.0781515, -0.0822904, 9.83336, 
3.552, 1.37882, 0.0265633, -0.0555363, 9.73477, 
3.584, 1.37812, -0.00190818, 0.0167191, 9.80789, 
3.616, 1.37231, -0.042612, -2.16651e-05, 9.78492, 
3.648, 1.37348, -0.0331486, 0.0441214, 9.95376, 
3.68, 1.37417, 0.00662076, 0.040822, 9.78393, 
3.712, 1.3777, 0.0443383, -0.0249458, 9.78804, 
3.744, 1.37181, -0.0104331, -0.0166891, 9.81852, 
3.776, 1.37753, 0.00157257, -0.066238, 9.89203, 
3.808, 1.3725, -0.0295152, 0.0449205, 9.91348, 
3.84, 1.37154, -0.0236677, -0.0649563, 9.85495, 
3.872, 1.38019, -0.00971249, 0.08521, 9.79603, 
3.904, 1.37375, 0.0984038, 0.0689868, 9.78361, 
3.936, 1.37254, -0.0439225, 0.0465154, 9.86574, 
3.968, 1.37933, -0.0209482, -0.0250976, 9.88603, 
4, 1.37801, 0.0265866, -0.0244412, 9.77979, 
4.032, 1.37329, 0.0799315, -0.0558183, 9.84772, 
4.064, 1.37523, -0.0356934, 0.00823822, 9.83672, 
4.096, 1.37775, -0.0225398, 0.0198793, 9.86438, 
4.128, 1.37992, -0.044385, -0.0097054, 9.84627, 
4.16, 1.37457, 0.106988, -0.0225516, 9.84602, 
4.192, 1.38097, 0.00635786, -0.0666077, 9.84337, 
4.224, 1.37283, -0.0272729, -0.0252045, 9.7655, 
4.256, 1.37803, 0.0194294, -0.0687245, 9.79223, 
4.288, 1.37943, -0.00514133, 0.0904451, 9.84133, 
4.32, 1.38263, 0.0974321, 0.0818634, 9.93604, 
4.352, 1.37928, -0.0374429, -0.0577928, 9.79444, 
4.384, 1.37432, -0.0340141, -0.00451001, 9.7594, 
4.416, 1.38228, 0.0717345, 0.0852634, 9.82485, 
4.448, 1.3748, 0.0482754, 0.0520796, 9.86442, 
4.48, 1.37388, -0.053349, 0.00818563, 9.73132, 
4.512, 1.37983, 0.0604265, 0.0182453, 9.84233, 
4.544, 1.38189, 0.0305525, -0.0558501, 9.75147, 
4.576, 1.37393, -0.0195174, -0.0390744, 9.87023, 
4.608, 1.37125, -0.0245145, -0.0858919, 9.85678, 
4.64, 1.37858, -0.0186893, 0.00931253, 9.78241, 
4.672, 1.37936, -0.0545904, 0.0307957, 9.86829, 
4.704, 1.37488, -0.000878609, -0.0221774, 9.84165, 
4.736, 1.38314, -0.0274157, -0.0156662, 9.83796, 
4.768, 1.37495, -0.0952866, 0.0451663, 9.83584, 
4.8, 1.37136, 0.00955512, -0.0209948, 9.80157, 
4.832, 1.37289, 0.111249, 0.0428374, 9.80175, 
4.864, 1.3717, 0.0343744, 0.0136728, 9.87253, 
4.896, 1.38333, -0.0659072, 0.00137627, 9.93602, 
4.928, 1.3806, 0.0204772, 0.0070708, 9.80049, 
4.96, 1.38082, 0.030888, 0.0831028, 9.82778, 
4.992, 1.37169, -0.046036, -0.0460499, 9.80811, 
5.024, 1.37753, 0.0228407, -0.0795181, 9.76818, 
5.056, 1.37757, 0.0103256, 0.0190498, 9.8759, 
5.088, 1.37835, -0.0572009, 0.0778046, 9.75754, 
5.12, 1.38071, 0.0447308, -0.0954077, 9.81387, 
5.152, 1.37732, -0.0292661, -0.0236934, 9.79279, 
5.184, 1.37459, -0.024257, 0.0314768, 9.76038, 
5.216, 1.37935, -0.048205, -0.0263993, 9.79481, 
5.248, 1.37837, 0.0736473, 0.0691307, 9.76899, 
5.28, 1.38178, 0.0912043, -0.0468077, 9.77202, 
5.312, 1.38065, 0.0432525, -0.0392534, 9.78839, 
5.344, 1.37711, 0.00887696, -0.0205054, 9.74138, 
5.376, 1.37562, -0.0206521, -0.00689663, 9.87665, 
5.408, 1.38266, 0.00104117, 0.0442616, 9.83466, 
5.44, 1.37222, -0.0138242, 0.0196877, 9.80429, 
5.472, 1.37316, -0.11544, 0.015262, 9.81891, 
5.504, 1.37376, -0.0444491, -0.0535525, 9.83165, 
5.536, 1.37489, 0.00976566, 0.00548687, 9.78234, 
5.568, 1.38131, -0.0382151, 0.0459776, 9.83927, 
5.6, 1.37617, -0.030249, 0.0335794, 9.86318, 
5.632, 1.37124, 0.0892072, -0.00674299, 9.83088, 
5.664, 1.38221, 0.0203153, -0.0406721, 9.73336, 
5.696, 1.37849, 0.0615109, 0.0563443, 9.81324, 
5.728, 1.37533, 0.0355983, 0.00688992, 9.82496, 
5.76, 1.37506, 0.0493023, -0.09049, 9.83217, 
5.792, 1.3823, 0.0134554, 0.0759667, 9.76583, 
5.824, 1.37314, 0.0605523, -0.0351941, 9.77815, 
5.856, 1.37649, -0.0187959, -0.0865032, 9.72567, 
5.888, 1.37842, -0.0200351, -0.0527522, 9.82736, 
5.92, 1.37949, 0.085069, -0.0174582, 9.77895, 
5.952, 1.37767, -0.0250471, -0.0414159, 9.83116, 
5.984, 1.37997, -0.039755, -0.0354623, 9.83092, 
6.016, 1.37866, 0.0394522, 0.0113077, 9.85114, 
6.048, 1.37608, 0.00280961, 0.0568091, 9.81992, 
6.08, 1.37738, -0.061922, -0.073612, 9.78808, 
6.112, 1.37696, -0.0661552, -0.118571, 9.89199, 
6.144, 1.37883, -0.0959821, -0.0782286, 9.80276, 
6.176, 1.37388, 0.0910908, -0.0400068, 9.79046, 
6.208, 1.37716, -0.0169491, -0.0385834, 9.82551, 
6.24, 1.37566, 0.0150118, -0.0556876, 9.80712, 
6.272, 1.37499, -0.0713748, 0.00542417, 9.84907, 
6.304, 1.38098, -0.0567327, 0.0154844, 9.86499, 
6.336, 1.37414, -0.0238473, -0.0646383, 9.88221, 
6.368, 1.37482, 0.0911245, -0.0570232, 9.83288, 
6.4, 1.37362, 0.051876, 0.00447188, 9.83263, 
6.432, 1.38181, -0.00123136, -0.0931852, 9.80922, 
6.464, 1.38071, -0.00833334, -0.10854, 9.87096, 
6.496, 1.3806, -0.0197824, 0.0430488, 9.82403, 
6.528, 1.38089, -0.0765329, 0.0650028, 9.77505, 
6.56, 1.38206, 0.0862721, 0.0206423, 9.82787, 
6.592, 1.37971, 0.0219667, -0.0185042, 9.81045, 
6.624, 1.37445, -0.0016745, 0.0763632, 9.79938, 
6.656, 1.38117, -0.0337832, 0.0761398, 9.7339, 
6.688, 1.38143, 0.0648615, -0.0329389, 9.78002, 
6.72, 1.38323, -0.0260605, -0.0811965, 9.83341, 
6.752, 1.38325, 0.0112211, 0.0358998, 9.87859, 
6.784, 1.37819, 0.0355312, -0.00134377, 9.75202, 
6.816, 1.38082, 0.0368451, 0.0439137, 9.93592, 
6.848, 1.37671, 0.0351362, -0.0243791, 9.88896, 
6.88, 1.38012, 0.0387917, -0.0604056, 9.79753, 
6.912, 1.37598, -0.0492128, -0.00618626, 9.78211, 
6.944, 1.38016, -0.0446685, -0.00813992, 9.79978, 
